id,datetime,user_location,text,from,by,hashtags,mentions
1437780655128158213,2021-09-14 14:09:55,,RT @cuongcz: #ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @kuriharan @mvollmer…,cuongcz,DeveloperBot_v1,ai ml artificialintelligence machinelearning datascience bigdata analytics blockchain tech data,cuongcz kuriharan
1437780655270674434,2021-09-14 14:09:55,,RT @cuongcz: #ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data @kuriharan @mvollmer…,cuongcz,DeveloperBot_v1,ai ml artificialintelligence machinelearning datascience bigdata analytics blockchain tech data,cuongcz kuriharan
1437780655119732744,2021-09-14 14:09:55,,RT @Sheraj99: IOTA Added to List of Blockchain Providers for European Blockchain Services Infrastructure https://t.co/mMxAa0GAyX #BigData #…,Sheraj99,DeveloperBot_v1,BigData,Sheraj99
1437780688523177987,2021-09-14 14:10:03,"Casper, WY","RT @HarbRimah: TOP DATA SCIENCE CRASH COURSES TO SHAPE YOUR CAREER IN 2021 https://t.co/TB5F3Kox8d 

#MachineLearning #DataScience #Python…",HarbRimah,RSAHoldings,MachineLearning DataScience Python,HarbRimah
1437780697733869569,2021-09-14 14:10:05,,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,DataAugmented,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780697637326850,2021-09-14 14:10:05,"Hamburg, Germany","RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,WomenCodersBot,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780697964482561,2021-09-14 14:10:05,,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,iPythonistaBot,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780697410949136,2021-09-14 14:10:05,Earth,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,_FunBot,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780721913974797,2021-09-14 14:10:11,,"RT @JobPreference: Need a Job?
https://t.co/o7lVlsl75X
NO MIDDLEMAN
#jobpreference #MachineLearning #BigData #Analytics #DataScience #AI #I…",JobPreference,botfordev,jobpreference MachineLearning BigData Analytics DataScience AI,JobPreference
1437780736568926213,2021-09-14 14:10:14,Nairobi Kenya,"RT @Sheraj99: Data Analysis with #Python, #Pandas, #Numpy. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #RStats #Tensor…",Sheraj99,King_Ndegwa,Python Pandas Numpy BigData Analytics DataScience AI MachineLearning IoT IIoT RStats,Sheraj99
1437780740536733711,2021-09-14 14:10:15,Internet,"RT @TurboHire: The 5th must-have of intelligent hiring: ATS!
https://t.co/J76g7sjKeA

#MachineLearning #DataScience #5G #100DaysOfCode #Pyt…",TurboHire,cybersec_feeds,MachineLearning DataScience 5G 100DaysOfCode,TurboHire
1437780759671083025,2021-09-14 14:10:20,,"RT @Sheraj99: Data Analysis with #Python, #Pandas, #Numpy. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #RStats #Tensor…",Sheraj99,AzuerBot,Python Pandas Numpy BigData Analytics DataScience AI MachineLearning IoT IIoT RStats,Sheraj99
1437780763227959296,2021-09-14 14:10:21,,"RT @TurboHire: The 5th must-have of intelligent hiring: ATS!
https://t.co/J76g7sjKeA

#MachineLearning #DataScience #5G #100DaysOfCode #Pyt…",TurboHire,iPythonistaBot,MachineLearning DataScience 5G 100DaysOfCode,TurboHire
1437780770819657739,2021-09-14 14:10:23,,RT @Doxyaxone: Learning Materials for IBM #DataScience Certification! #BigData #Analytics \#AI #MachineLearning #IoT #IIoT #Python #RStats…,Doxyaxone,DjangoBot_,DataScience BigData Analytics AI MachineLearning IoT IIoT Python RStats,Doxyaxone
1437780772371505152,2021-09-14 14:10:23,Jammu And Kashmir,"RT @TurboHire: The 5th must-have of intelligent hiring: ATS!
https://t.co/J76g7sjKeA

#MachineLearning #DataScience #5G #100DaysOfCode #Pyt…",TurboHire,Bills_Bot,MachineLearning DataScience 5G 100DaysOfCode,TurboHire
1437780803535220747,2021-09-14 14:10:30,,"RT @TurboHire: The 5th must-have of intelligent hiring: ATS!
https://t.co/J76g7sjKeA

#MachineLearning #DataScience #5G #100DaysOfCode #Pyt…",TurboHire,AzuerBot,MachineLearning DataScience 5G 100DaysOfCode,TurboHire
1437780808086007816,2021-09-14 14:10:31,bot world,"RT @Josh_Ebner: In this regard, data science and programming are a lot like playing an instrument.

There's a physical component *and* a me…",Josh_Ebner,Fishbot8,,Josh_Ebner
1437780820320821250,2021-09-14 14:10:34,katwa,"RT @TurboHire: The 5th must-have of intelligent hiring: ATS!
https://t.co/J76g7sjKeA

#MachineLearning #DataScience #5G #100DaysOfCode #Pyt…",TurboHire,aghosh0605,MachineLearning DataScience 5G 100DaysOfCode,TurboHire
1437780830361989128,2021-09-14 14:10:37,Mumbai,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,RetweetsMumbai,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780854449790982,2021-09-14 14:10:43,"Hamburg, Germany","RT @metlasudha: #FEATURED #COURSES
The Complete #MySQL #Server in 2021: Zero to Hero
Skills to apply for jobs like:
#Database #SQL #Datasci…",metlasudha,WomenCodersBot,FEATURED COURSES MySQL Server Database SQL,metlasudha
1437780854009380885,2021-09-14 14:10:42,Earth,"RT @metlasudha: #FEATURED #COURSES
The Complete #MySQL #Server in 2021: Zero to Hero
Skills to apply for jobs like:
#Database #SQL #Datasci…",metlasudha,_FunBot,FEATURED COURSES MySQL Server Database SQL,metlasudha
1437780855645220868,2021-09-14 14:10:43,Jammu And Kashmir,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,Bills_Bot,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437780862720937989,2021-09-14 14:10:45,Around the World,"RT @metlasudha: #FEATURED #COURSES
The Complete #MySQL #Server in 2021: Zero to Hero
Skills to apply for jobs like:
#Database #SQL #Datasci…",metlasudha,metlasudha,FEATURED COURSES MySQL Server Database SQL,metlasudha
